price,market_date
407.0,1996-12-09T00:00:00
426.0,1997-01-02T00:00:00
408.5,1997-02-03T00:00:00
386.0,1997-03-03T00:00:00
378.0,1997-04-01T00:00:00
401.9,1997-05-01T00:00:00
387.5,1997-06-02T00:00:00
380.6,1997-07-01T00:00:00
342.0,1997-08-01T00:00:00
356.7,1997-09-02T00:00:00
296.0,1997-10-01T00:00:00
299.0,1997-11-03T00:00:00
327.4,1997-12-01T00:00:00
285.5,1998-01-02T00:00:00
307.0,1998-02-02T00:00:00
297.3,1998-03-02T00:00:00
314.0,1998-04-01T00:00:00
298.0,1998-05-01T00:00:00
264.0,1998-06-01T00:00:00
293.0,1998-07-01T00:00:00
304.0,1998-08-03T00:00:00
284.0,1998-09-01T00:00:00
253.0,1998-10-01T00:00:00
261.8,1998-11-02T00:00:00
289.2,1998-12-01T00:00:00
303.0,1999-01-04T00:00:00
343.0,1999-02-01T00:00:00
337.0,1999-03-01T00:00:00
337.5,1999-04-01T00:00:00
344.6,1999-05-03T00:00:00
349.0,1999-06-01T00:00:00
404.0,1999-07-01T00:00:00
382.9,1999-08-02T00:00:00
343.3,1999-09-01T00:00:00
302.0,1999-10-01T00:00:00
320.3,1999-11-01T00:00:00
354.0,1999-12-01T00:00:00
352.0,2000-01-03T00:00:00
345.5,2000-02-01T00:00:00
335.0,2000-03-01T00:00:00
326.0,2000-04-03T00:00:00
301.0,2000-05-01T00:00:00
295.9,2000-06-01T00:00:00
263.0,2000-07-03T00:00:00
248.1,2000-08-01T00:00:00
222.0,2000-09-01T00:00:00
231.5,2000-10-02T00:00:00
207.9,2000-11-01T00:00:00
233.3,2000-12-01T00:00:00
208.0,2001-01-02T00:00:00
226.0,2001-02-01T00:00:00
200.0,2001-03-01T00:00:00
233.0,2001-04-02T00:00:00
289.5,2001-05-01T00:00:00
326.0,2001-06-01T00:00:00
289.0,2001-07-02T00:00:00
319.0,2001-08-01T00:00:00
316.0,2001-09-04T00:00:00
241.3,2001-10-01T00:00:00
229.8,2001-11-01T00:00:00
221.0,2001-12-03T00:00:00
246.0,2002-01-02T00:00:00
268.0,2002-02-01T00:00:00
310.0,2002-03-01T00:00:00
294.0,2002-04-01T00:00:00
285.5,2002-05-01T00:00:00
282.0,2002-06-03T00:00:00
288.4,2002-07-01T00:00:00
268.1,2002-08-01T00:00:00
226.5,2002-09-03T00:00:00
217.5,2002-10-01T00:00:00
219.9,2002-11-01T00:00:00
241.0,2002-12-02T00:00:00
219.0,2003-01-02T00:00:00
